V,X,n
说,自己,4
读,课文,4
谈,大学,4
谈,天,4
谈,生意,4
赌,钱,4
还,不,4
逛,街,4
闹,事,4
闹,情绪,4
闹,鬼,4
顶,嘴,4
飘,雨,4
飘,雪,4
飘,雪花,4
骂,我,4
鼓,干劲,4
、,不,3
。,首,3
K,歌,3
一,",",3
一,交上,3
一,分,3
一,分配,3
一,学习,3
一,携手,3
一,煮,3
一,玩,3
一,请,3
一,近年,3
一,配合,3
一,鼓掌,3
下,毛毛雨,3
下,笔,3
不,他,3
不,心,3
不,架,3
不,气,3
个,落,3
中,，,3
中,身,3
买,书,3
人,气,3
介,自己,3
仰,坐,3
价,不,3
伸,头,3
作,乱,3
作,怪,3
佩,她,3
做,坏事,3
做,广告,3
做,手术,3
做,诗,3
做,项目,3
做,预算,3
关,他,3
关,房门,3
冒,烟,3
写,词,3
击,鼓,3
划,拳,3
办,实事,3
即,凡,3
即,可,3
发,恼,3
发,议论,3
叫,他,3
可,不,3
吃,药,3
同,他们,3
听,故事,3
吹,牛皮,3
哭,鼻子,3
唠,家常,3
唱,国歌,3
喊,冤,3
喘,气,3
嘟,嘴,3
回,初,3
回,过去,3
回,近年,3
因,不,3
在,用,3
垫,脚尖,3
培,兴趣,3
堆,笑,3
奏,乐,3
始,不,3
学,东西,3
学,技术,3
害,怕,3
害,病,3
对,歌,3
已,不,3
带,头,3
年,，,3
开,口,3
引,了,3
引,近年,3
当,导演,3
当,真,3
得,钱,3
念,佛,3
念,咒语,3
念,经,3
怎,得,3
怜,他,3
想,，,3
想,你们,3
想,儿子,3
想,在,3
想,自己,3
打,哈欠,3
打,拳,3
打,篮球,3
打,麻将,3
扣,球,3
执,笔,3
扬,笑容,3
扯,呼噜,3
扶,她,3
批,个性,3
批,学生,3
抬,身子,3
担,不,3
拉,他,3
拉,磨,3
拉,车,3
拌,嘴,3
拍,巴掌,3
拍,掌,3
拍,照片,3
拿,它,3
拿,茶杯,3
拿,话筒,3
拿,酒,3
挖,地,3
挽,袖子,3
捞,鱼,3
捡,笔,3
探,头,3
接,电话,3
提,劲,3
提,她,3
提,手,3
揭,被,3
搞,活动,3
搞,腐败,3
搭,帐篷,3
搭,棚子,3
撑,身,3
擂,鼓,3
操,心,3
擦,皮鞋,3
收,费,3
收,钱,3
放,枪,3
放,羊,3
放,鞭炮,3
教,学生,3
教,我,3
整,人,3
斟,酒,3
明,不,3
杨,肩膀,3
杨,身,3
树,威信,3
梳,头,3
植,树,3
比,中国,3
比,内地,3
比,刚,3
比,前辈,3
比,北京,3
比,城市,3
比,她们,3
比,成年人,3
比,欧洲,3
比,母亲,3
比,男性,3
水,”,3
洗,脚,3
洗,脸,3
消,不,3
滑,雪,3
炒,菜,3
点,蜡烛,3
烧,香,3
烫,酒,3
燃,大火,3
燃,火,3
爬,坡,3
玩,电脑,3
盘,腿,3
看,球,3
着,急,3
硬,心肠,3
种,田,3
穿,旗袍,3
端,杯,3
答,卷子,3
算,总账,3
管,我,3
组,活动,3
编,故事,3
羡,他,3
羡,她,3
翘,腿,3
翻,书,3
耍,脾气,3
耍,赖,3
联,近年,3
肩,责任,3
肯,不,3
舞,龙,3
落,泪,3
蒙,头,3
记,单词,3
记,她,3
讲,英语,3
说,什么,3
说,原因,3
说,她,3
说,干部,3
说,戏,3
说,汉语,3
说,相声,3
说,笑话,3
说,英文,3
读,句子,3
谈,中国,3
谈,它,3
谈,文,3
谈,这个,3
跑,不,3
这,事件,3
里,不,3
闭,眼,3
闭,门,3
问,她,3
闻,鼻烟,3
集,精神,3
骑,车,3
骗,人,3
―,――,2
“,不,2
V,NP,2
一,）,2
一,上台,2
一,买,2
一,作用,2
一,协同,2
一,参与,2
一,回家,2
一,坐车,2
一,往前,2
一,成长,2
一,抱团,2
一,拉,2
一,挑,2
一,捉,2
一,搭配,2
一,收集,2
一,泡,2
一,相约,2
一,立,2
一,讨论,2
一,走,2
一,都,2
一,铲起,2
上,楼,2
上,班,2
下,冰雹,2
下,暴雨,2
不,。,2
不,人,2
不,勇气,2
不,床,2
不,房,2
不,朝,2
不,枪,2
不,桥,2
不,神,2
不,腰杆,2
不,词,2
不,责任,2
不,身子,2
主,不,2
举,例,2
举,头,2
举,杖,2
举,笔,2
买,彩票,2
了,不,2
交,朋友,2
产,不,2
享,生活,2
人,不,2
仆,茶,2
今,再,2
他,不,2
会,不,2
传,更,2
估,分,2
体,人,2
作,反,2
作,恶,2
作,报告,2
作,词,2
你,不,2
做,。,2
做,业务,2
做,方丈,2
做,爱,2
做,皇帝,2
做,示范,2
做,笔记,2
做,简历,2
做,算术,2
做,革命党,2
先,身,2
先,这个,2
关,人,2
兴,而,2
养,猪,2
养,神,2
写,书稿,2
写,作品,2
写,信,2
写,回忆录,2
写,戏,2
写,散文,2
写,文字,2
写,日记,2
写,稿件,2
写,简历,2
写,诗歌,2
写,随笔,2
凑,钱,2
分,类,2
分,钱,2
分,问题,2
划,桨,2
划,船,2
列,队,2
刷,墙,2
刻,字,2
办,案子,2
办,税,2
加,油,2
加,速,2
升,火,2
卖,关子,2
印,名片,2
即,赶快,2
卷,袖子,2
反,胃,2
反,自己,2
发,井冈春,2
发,光,2
发,威势,2
发,急,2
发,方向,2
发,毛,2
发,热,2
发,电,2
发,端,2
发,笑,2
发,财,2
叫,我,2
叫,板,2
叫,真儿,2
叮,人,2
吃,工具,2
吃,糖,2
吃,面,2
吃,鱼,2
合,拍,2
同,她,2
吓,人,2
吸,毒,2
吹,火,2
和,不,2
哭,天,2
唤,人,2
唤,他,2
唤,诗人,2
唱,儿歌,2
唱,情歌,2
唱,春,2
唱,曲,2
唱,校歌,2
啄,米,2
喊,口号,2
喝,威士忌,2
喝,香片,2
嘲,自己,2
四,案件,2
回,刚,2
回,当时,2
在,商量,2
在,综合,2
地,头,2
地,手,2
地,歉,2
地,雪,2
坐,家,2
坐,身子,2
埋,我,2
堆,笑容,2
处,案件,2
处,问题,2
大,钱玄同,2
夸,我,2
奏,音乐,2
套,交情,2
学,，,2
学,专业课,2
学,中文,2
学,医,2
学,数学,2
学,日语,2
学,样,2
学,法语,2
学,舞蹈,2
孵,蛋,2
安,她,2
对,戏,2
射,箭,2
小,不,2
带,学生,2
帮,忙,2
常,不,2
干,不,2
干,事业,2
干,事情,2
干,家务,2
床,不,2
建,自信心,2
开,心,2
开,枪,2
开,染坊,2
开,花,2
开,门,2
开,餐馆,2
当,红娘,2
快,不,2
念,她,2
念,诗,2
忽,病,2
怕,父亲,2
怜,自己,2
想,事,2
想,事情,2
想,历年,2
想,去年,2
想,母亲,2
想,老爷,2
惹,事,2
感,不,2
或,旱,2
才,身,2
打,假,2
打,喷嚏,2
打,嚏喷,2
打,太极拳,2
打,寒战,2
打,怪,2
打,我,2
打,牌,2
打,磕睡,2
打,网球,2
打,羽毛球,2
打,腰鼓,2
打,选战,2
打,雪仗,2
打,雷,2
打,高尔夫,2
扫,雪,2
扬,眼,2
扯,皮,2
批,春晚,2
找,书,2
找,人,2
找,后帐儿,2
抄,电话,2
把,笔,2
抓,你,2
抓,工作,2
抓,笔,2
抡,板斧,2
抬,他,2
抬,来头,2
抬,过头,2
抱,他,2
抹,眼泪,2
抽,疯,2
担,女儿,2
担,对外,2
担,心,2
拈,笔,2
拍,人,2
拍,曲子,2
拍,桌子,2
拔,根,2
拖,地,2
招,我,2
拼,命,2
拼,酒,2
拾,狗,2
拾,箭,2
拿,剪刀,2
拿,手机,2
拿,扫帚,2
拿,杯子,2
拿,枪杆子,2
拿,棍棒,2
拿,笛,2
拿,药,2
拿,镜子,2
拿,门,2
拿,隐身草,2
拿,鼠标,2
指,路,2
挑,书,2
挑,担子,2
挑,衣服,2
挖,人,2
挣,身,2
挥,拳头,2
挺,腰板,2
挺,身子,2
捆,他,2
捏,肩膀,2
捞,钱,2
捡,石头,2
捧,书本,2
捻,笔,2
掀,了,2
掀,它,2
推,车,2
提,剑,2
提,头,2
提,我,2
提,抗诉,2
提,杨帆,2
提,袭人,2
提,问题,2
提,黄河,2
插,花,2
揭,纸,2
搞,政治,2
搞,科研,2
搞,育种,2
搬,东西,2
搬,家,2
摆,POSE,2
摆,摊,2
摆,枕头,2
摔,跤,2
摘,桃子,2
撅,嘴,2
撑,，,2
撒,尿,2
撒,泼,2
撞,钟,2
撩,袖子,2
擎,地球,2
擦,地板,2
擦,鞋,2
收,人,2
收,笑容,2
放,光,2
放,火炮,2
教,他,2
教,歌,2
教,课,2
敬,她,2
敬,礼,2
数,数,2
数,钱,2
数,饺子,2
敲,门,2
斗,气,2
日,，,2
早,得,2
时,不,2
晨,，,2
月,，,2
有,不,2
朗,诗歌,2
杀,敌,2
杀,病毒,2
板,脸孔,2
架,火,2
查,字,2
正,手,2
比,人家,2
比,农民,2
比,古代,2
比,同龄人,2
比,国内,2
比,国外,2
比,国家,2
比,夏天,2
比,奢侈品,2
比,女性,2
比,它,2
比,对手,2
比,工业,2
比,平时,2
比,张艺谋,2
比,当年,2
比,往年,2
比,您,2
比,昨天,2
比,朗读,2
比,武,2
比,清末,2
比,湖南,2
比,炼药师,2
比,电影,2
比,番茄,2
比,石油,2
比,红军,2
比,英语,2
比,西方,2
比,语言,2
比,这个,2
比,选手,2
比,那些,2
比,青椒,2
比,黄山,2
没,得,2
洗,手,2
流,眼泪,2
流,血,2
浇,地,2
滚,雪球,2
演,夫妻,2
演,对手戏,2
烤,肉,2
照,像,2
犯,病,2
犯,痴,2
玩,古董,2
玩,女人,2
玩,手机,2
现,不,2
用,功,2
用,它,2
用,旱,2
用,药,2
画,眉,2
盖,房子,2
直,背,2
直,腰杆,2
直,身体,2
相,精灵,2
看,小说,2
看,戏,2
看,我,2
看,比赛,2
看,热闹,2
看,球赛,2
看,视频,2
真,不,2
睁,眼,2
研,号码,2
研,墨,2
确,不,2
种,花,2
种,菜,2
积,不,2
穿,丝袜,2
穿,凉鞋,2
站,了,2
端,水,2
端,酒杯,2
筛,锣,2
算,）,2
算,钱,2
管,学生,2
管,闲事,2
累,不,2
纵,身,2
纺,线,2
练,字,2
练,拳,2
练,武,2
练,球,2
组,学习,2
织,布,2
绘,图,2
缠,足,2
缩,尾巴,2
缴,税,2
罚,款,2
罢,工,2
羡,他们,2
翻,跟头,2
考,我,2
耍,无赖,2
耕,田,2
联,宗,2
背,书,2
背,单词,2
背,手,2
舞,剑,2
荡,秋千,2
补,课,2
表,节目,2
解,问题,2
解,题,2
讨,他,2
讨,它,2
讨,问题,2
训,我,2
记,什么,2
记,他,2
记,你,2
记,我,2
讲,实在,2
讲,山海经,2
讲,近年,2
论,名字,2
论,法力,2
论,辈分,2
说,业务,2
说,中文,2
说,俏皮话,2
说,女儿,2
说,它,2
说,往事,2
说,成绩,2
说,教学,2
说,母语,2
说,理论,2
说,病,2
说,胡话,2
说,问题,2
读,它,2
谈,，,2
谈,价格,2
谈,孩子,2
谈,往事,2
谈,母校,2
谈,玉米,2
谈,环保,2
谈,自己,2
谈,训练,2
谈,这些,2
负,权力,2
责,他,2
责,我,2
责,自己,2
购,不,2
贷,款,2
资,不,2
走,步,2
越,不,2
跳,交际舞,2
跳,华尔兹舞,2
躬,背,2
转,弯,2
过,年,2
迈,步子,2
追,她,2
逞,强,2
道,歉,2
郭,身,2
配,戏,2
采,茶,2
钻,牛角尖,2
锁,门,2
长,精神头,2
长,肉,2
闭,城,2
问,东土,2
问,你,2
问,我们,2
问,浙大,2
闷,头,2
闹,脾气,2
飞,脚,2
骂,他,2
骂,街,2
黑,脸,2
鼓,翅膀,2
",",/,1
，,亚,1
，,大兵,1
，,甜味,1
，,造草庵,1
，,首,1
，,首先,1
、,得,1
：,不,1
：,首,1
！,！,1
?,首,1
？,首,1
…,…,1
…,不,1
。,病,1
’,门,1
“,”,1
”,书,1
”,什么,1
”,刮,1
”,北大,1
”,历史,1
”,地球,1
”,她,1
”,实验,1
”,客人,1
”,小说,1
”,山,1
”,我,1
”,我们,1
”,手,1
”,报纸,1
”,水果,1
”,瓶子,1
”,盐,1
”,脸皮,1
”,自己,1
”,虫子,1
”,话,1
”,课,1
”,赵忠尧,1
”,郭台铭,1
”,镜子,1
「,」,1
」,背,1
1,。,1
3,床,1
一,·,1
一,》,1
一,上山,1
一,下乡,1
一,不妨,1
一,专程,1
一,个案,1
一,为,1
一,也,1
一,了,1
一,争取,1
一,事先,1
一,互动,1
一,交换,1
一,修,1
一,做事,1
一,公事,1
一,关注,1
一,冲上,1
一,冲下山,1
一,凑热闹,1
一,出动,1
一,出去,1
一,出发,1
一,出远门,1
一,分工,1
一,割,1
一,办瑞顿,1
一,动员,1
一,劳动,1
一,北上,1
一,召唤,1
一,吃,1
一,合伙,1
一,合并,1
一,合谋,1
一,吹,1
一,唱歌,1
一,商量,1
一,喷出,1
一,围攻,1
一,地,1
一,大家,1
一,奔,1
一,好好,1
一,定期,1
一,小妖,1
一,干起,1
一,干预,1
一,应邀,1
一,开会,1
一,开车,1
一,征集,1
一,得,1
一,念,1
一,手,1
一,扒出,1
一,打上,1
一,打扫,1
一,打闹,1
一,抓,1
一,拆开,1
一,拉上,1
一,拔出,1
一,拔起,1
一,招聘,1
一,拷贝,1
一,掀起,1
一,提前,1
一,插秧,1
一,搞,1
一,搭,1
一,摇,1
一,故事,1
一,整体,1
一,朝,1
一,期待,1
一,期盼,1
一,歌唱,1
一,水里,1
一,波动,1
一,浮上,1
一,漂起,1
一,灌水,1
一,点,1
一,烹煮,1
一,燃烧,1
一,献血,1
一,生活,1
一,用餐,1
一,申请,1
一,畅谈,1
一,砌起,1
一,租用,1
一,笔,1
一,等,1
一,签,1
一,简单,1
一,约,1
一,结伴,1
一,聊天,1
一,联合,1
一,背,1
一,舀起,1
一,舞,1
一,行,1
一,袭,1
一,要,1
一,负责,1
一,购物,1
一,走路,1
一,跟,1
一,跟车,1
一,转移,1
一,返,1
一,返乡,1
一,进,1
一,进一步,1
一,迸出,1
一,送进宫,1
一,逃难,1
一,逐个,1
一,酒,1
一,降临,1
一,集成,1
一,雨,1
一,领,1
七,不,1
万,不,1
万,病,1
三,”,1
三,事件,1
上,刺刀,1
上,卷子,1
上,字,1
上,病,1
上,眼,1
上,货,1
上,身子,1
上,颜色,1
下,刀,1
下,土,1
下,大暴雨,1
下,大雪,1
下,好,1
下,小雪,1
下,工夫,1
下,毒,1
下,瓜,1
下,神,1
下,秋雨,1
下,象棋,1
下,邓正,1
下,雨夹雪,1
下,雾,1
不,、,1
不,一点劲,1
不,一百,1
不,丫头,1
不,中,1
不,书名,1
不,人力,1
不,仗,1
不,价,1
不,会,1
不,你,1
不,信心,1
不,兴,1
不,声势,1
不,外地,1
不,它,1
不,工作,1
不,情欲,1
不,情绪,1
不,意思,1
不,我们,1
不,手,1
不,架子,1
不,框架,1
不,棵,1
不,汽水粉,1
不,火,1
不,狠,1
不,班子,1
不,电,1
不,眼,1
不,神儿,1
不,答案,1
不,美感,1
不,群众,1
不,老,1
不,老师,1
不,脊梁,1
不,脑袋,1
不,脸,1
不,脾气,1
不,腰杆子,1
不,腿,1
不,花,1
不,话,1
不,谁,1
不,豆腐,1
不,辈分,1
不,还,1
不,这,1
不,钱,1
不,麦子,1
丢,面子,1
两,案例,1
两,案子,1
两,诉讼,1
个,不,1
中,工业用,1
串,十,1
串,门,1
临,画,1
举,再,1
举,大拇指,1
举,宝剑,1
举,帽子,1
举,望远镜,1
举,杯子,1
举,桶,1
举,棒,1
举,火,1
举,灯,1
举,玉�,1
举,电话,1
举,眼,1
举,碗,1
举,筑,1
举,罗,1
举,脚,1
举,过头,1
举,酒,1
之,用,1
乌,身,1
乞,食,1
也,了,1
习,武,1
书,单词,1
书,春联,1
买,保险,1
买,奢侈品,1
买,房子,1
买,礼物,1
买,票,1
买,衣服,1
了,”,1
了,用,1
争,思想家,1
争,这些,1
争,钥匙,1
争,问题,1
事,因,1
于,酒,1
互,关系,1
五,笔,1
亚,脚,1
交,感想,1
交,税,1
交,艺术,1
享,啤酒,1
享,美味,1
亮,，,1
亮,灯,1
亮,车灯,1
亲,嘴,1
亲,她,1
人,情,1
人,病,1
人,笔,1
人,话,1
人,贫,1
人,车,1
仇,莫林,1
今,我,1
今,进一点,1
今,都,1
介,业务,1
介,云锦,1
介,亚运,1
介,产品,1
介,创业街,1
介,宜兴,1
介,工作,1
介,我,1
介,男友,1
介,网站,1
介,芜湖,1
介,行情,1
介,近年,1
介,鸟类,1
付,责任,1
仨,计划,1
仰,事,1
仰,手,1
仰,面,1
企,不,1
会,伙,1
会,手,1
会,身,1
伟,苦,1
传,你,1
传,架,1
伽,身,1
但,不,1
低,存额,1
何,刀兵,1
何,愁,1
何,身,1
佛,笔,1
作,乐,1
作,习题,1
作,事,1
作,事业,1
作,学问,1
作,实验,1
作,对,1
作,小说,1
作,序,1
作,弊,1
作,我,1
作,战,1
作,文,1
作,文章,1
作,曲,1
作,案,1
作,比较,1
作,生意,1
作,研究,1
作,耗,1
作,运动,1
作,题,1
佩,GMAC,1
佩,他,1
佩,奶奶,1
佩,妃子,1
佩,妈妈,1
佩,导演,1
使,左手枪,1
使,毛笔,1
使,美人计,1
侃,价格,1
侃,大山,1
侃,女人,1
侍,你,1
供,你,1
供,寺庙,1
供,龙牌爷,1
依,因,1
侧,身躯,1
侯,娇,1
便,得,1
便,笔,1
便,身,1
便,锯,1
俅,身,1
俘,一些,1
保,老公,1
保,马援,1
信,上帝,1
信,佛,1
信,家长,1
信,教,1
信,无神论,1
信,道教,1
修,地铁,1
修,家宅,1
修,计划史,1
修,论文,1
修,长城,1
俯,头,1
俺,不,1
倒,不,1
倒,关子,1
倒,我,1
倒,脸,1
倒,茶,1
倒,车,1
倘,雨,1
借,钱,1
倡,绝对论,1
假,养家人,1
做,”,1
做,&quot;,1
做,flash,1
做,VC,1
做,丈夫,1
做,主妇,1
做,乌龟,1
做,习题,1
做,事儿,1
做,产业链,1
做,产品,1
做,亲戚,1
做,作品,1
做,俗谣,1
做,信誉,1
做,俯卧撑,1
做,俯视者,1
做,光,1
做,公关,1
做,公务,1
做,农活,1
做,前戏,1
做,功课,1
做,壶,1
做,复习题,1
做,太上皇,1
做,宣传,1
做,家事,1
做,展览,1
做,庄家,1
做,应用,1
做,弓箭,1
做,强盗,1
做,影评,1
做,恶,1
做,恶事,1
做,我,1
做,房地产,1
做,手工,1
做,手脚,1
做,投资,1
做,指挥,1
做,收割机,1
做,教育,1
做,数学题,1
做,新闻,1
做,本分,1
做,机器人,1
做,板书,1
做,案,1
做,案件,1
做,模型,1
做,汤圆,1
做,法,1
做,法事,1
做,活动,1
做,浪,1
做,深呼吸,1
做,烧烤,1
做,版式,1
做,生意经,1
做,画,1
做,知己,1
做,砖,1
做,窗户,1
做,窝,1
做,笔筒,1
做,答案,1
做,管理者,1
做,练习,1
做,翻译,1
做,老师,1
做,老本行,1
做,股东,1
做,艺术家,1
做,菜,1
做,设计,1
做,试验,1
做,诗文,1
做,课题,1
做,身,1
做,运动,1
做,近年,1
做,这个,1
做,针线,1
做,销售,1
做,锅头,1
做,镜头,1
做,隐士,1
做,雕塑,1
做,音乐,1
做,音乐人,1
做,饭菜,1
做,饺子,1
做,饼,1
做,香包,1
做,麦饼,1
做,黄婆,1
做,黄梁美梦,1
做,龙舟,1
偷,笑,1
储,一些,1
催,儿子,1
催,我,1
元,；,1
充,向导,1
充,听众,1
充,大,1
充,气,1
兑,奖,1
兜,圈圈,1
兜,圈子,1
全,不,1
关,下属,1
关,作品,1
关,唐寅,1
关,国门,1
关,孩子,1
关,小麦,1
关,战争,1
关,时尚,1
关,民生,1
关,窗户,1
关,股票,1
关,舞蹈,1
关,越剧,1
关,骑射,1
兴,大狱,1
兴,慈心,1
兴,掌,1
兴,话,1
兴,近年,1
兵,已,1
养,兔子,1
养,宠物,1
养,狗,1
养,蚕,1
养,鸡,1
养,鸭子,1
内,不,1
内,手,1
再,不,1
再,人马,1
冒,，,1
冒,导演,1
冒,油,1
冒,火,1
写,CSS,1
写,中国字,1
写,书评,1
写,人,1
写,代码,1
写,休书,1
写,决议,1
写,剧本,1
写,博客,1
写,卷子,1
写,奏疏,1
写,字母,1
写,字画,1
写,常识,1
写,影评,1
写,斗方,1
写,新闻,1
写,曲,1
写,材料,1
写,汉字,1
写,白话文,1
写,相声,1
写,程序,1
写,程式,1
写,篆字,1
写,绝望,1
写,议论文,1
写,赵高,1
写,通史,1
写,通讯,1
写,题,1
冤,我,1
冲,茶,1
决,事情,1
冷,脸,1
冻,病根,1
准,晚饭,1
凑,伙儿,1
凝,共识,1
凝,我,1
几,不,1
几,事件,1
几,事例,1
几,事故,1
几,冤假错案,1
几,近年,1
几,错案,1
凶,人,1
凸,本文,1
凸,部分,1
出,不,1
出,乱子,1
出,文章,1
出,气,1
出,汗,1
出,牌,1
出,神,1
出,血,1
出,问题,1
击,掌,1
分,任务,1
分,原因,1
分,形势,1
分,走势,1
分,银子,1
切,东西,1
切,小东西,1
切,牌,1
切,球技,1
切,萝卜,1
切,蛋糕,1
划,浆,1
划,痕,1
划,竹筏,1
列,阵,1
刘,关子,1
刘,身,1
则,念,1
刚,不,1
创,利润,1
创,新,1
创,词,1
初,中专班,1
判,事情,1
判,案,1
判,话,1
刨,冻土,1
刨,根,1
利,，,1
利,我,1
刮,地皮,1
刮,沙尘暴,1
刮,狂风沙,1
刮,铁炉,1
刮,雪,1
刮,雪暴,1
刮,顺风,1
刮,风暴,1
制,播种机,1
