part_of_speech,gloss,target_child_age,corpus_name,speaker_role,age,role,reduplicationmaybespace,reduplication
NA,大象 大象 在 在 玩儿 他 的 球,84.0017248814144,Xinjiang,Target_Child,84,child,大象 大象,大象大象
NA,然后 然后 大象 也 还 就 不 小心 啊 了 一下,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,他 他 把 它 他 呀 把 飞机 捞呀 捞呀 捞呀捞,72.00147846978378,Xinjiang,Target_Child,72,child,他 他,他他
NA,他 那个 大象 说 我要去 xxx,84.0017248814144,Xinjiang,Target_Child,84,child,xx,xx
NA,然后 那个 小 小马 特别 高 小牛 特别 高兴,72.00147846978378,Xinjiang,Target_Child,72,child,小 小,小小
NA,小象 和 长颈鹿 啊 在 在 河 旁边 啊,84.0017248814144,Xinjiang,Target_Child,84,child,在 在,在在
NA,然后 然后 长颈鹿 也 是 啊 了 一下,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,就 就 就 去 跟 他 想 玩儿 一 下,84.0017248814144,Xinjiang,Target_Child,84,child,就 就,就就
NA,然后 然后 大象 就 直接 跑 过去,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然 然后 然后 大象 闭上 眼睛 闭上 眼睛 蒙上 眼睛 看 着,84.0017248814144,Xinjiang,Target_Child,84,child,然 然,然然
NA,然后 然后 小象 和 长颈鹿 吓 了 一 跳,72.00147846978378,Xinjiang,Target_Child,72,child,然后 然后,然后然后
NA,然后 然后 他 他 就 说 坐,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,后来 大象 的 球 掉 掉 掉进 水里,84.0017248814144,Xinjiang,Target_Child,84,child,掉 掉,掉掉
NA,一 个 球 掉进 掉进 水里 了,84.0017248814144,Xinjiang,Target_Child,84,child,掉进 掉进,掉进掉进
NA,然后 他们 他们 玩儿 了,72.00147846978378,Xinjiang,Target_Child,72,child,他们 他们,他们他们
NA,大象 就 就 伤心 了,84.0017248814144,Xinjiang,Target_Child,84,child,就 就,就就
NA,然后 呀 他 他们 两 个 就 开 特别 开心,72.00147846978378,Xinjiang,Target_Child,72,child,他 他,他他
NA,让 让 长颈鹿 去 拿 他 的 球,84.0017248814144,Xinjiang,Target_Child,84,child,让 让,让让
NA,把 把 它 钓上 了,72.00147846978378,Xinjiang,Target_Child,72,child,把 把,把把
NA,以后 以后 长颈鹿 才 上来,84.0017248814144,Xinjiang,Target_Child,84,child,以后 以后,以后以后
NA,然后 那个 那个 他 斑马 就 谢 那个不用 谢 说,84.0017248814144,Xinjiang,Target_Child,84,child,那个 那个,那个那个
NA,对 长 长颈鹿 对 小象 那么 那么xx啊,72.00147846978378,Xinjiang,Target_Child,72,child,长 长,长长
NA,大象 和 长颈鹿 想 想 游泳,84.0017248814144,Xinjiang,Target_Child,84,child,想 想,想想
NA,大象 在 玩儿 球 球 呢,84.0017248814144,Xinjiang,Target_Child,84,child,球 球,球球
NA,然后 长颈 鹿 鹿 鹿 说,84.0017248814144,Xinjiang,Target_Child,84,child,鹿 鹿,鹿鹿
NA,就 就 去 那儿,84.0017248814144,Xinjiang,Target_Child,84,child,就 就,就就
NA,然后 小 小象 小 小象 不敢 说,72.00147846978378,Xinjiang,Target_Child,72,child,小 小,小小
NA,就 长 长 鼻子 可 想 掉到 水 里面,84.0017248814144,Xinjiang,Target_Child,84,child,长 长,长长
NA,然后 然后 飞机 掉到 水里 了,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 然后 长颈鹿 生气 了,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 长颈鹿 满身 都 湿湿 的,84.0017248814144,Xinjiang,Target_Child,84,child,湿湿,湿湿
NA,然后 那个 那个 马 就 说 你 还好 吧,84.0017248814144,Xinjiang,Target_Child,84,child,那个 那个,那个那个
NA,然后 然后 他 说 好 好,72.00147846978378,Xinjiang,Target_Child,72,child,然后 然后,然后然后
NA,然 然后 然后 一会儿 男 大象 来 了,84.0017248814144,Xinjiang,Target_Child,84,child,然 然,然然
NA,他 他 终于 接 它,84.0017248814144,Xinjiang,Target_Child,84,child,他 他,他他
NA,他 他 就 摔 了,84.0017248814144,Xinjiang,Target_Child,84,child,他 他,他他
NA,然 然后 男 大象 朝 着 女 大象,84.0017248814144,Xinjiang,Target_Child,84,child,然 然,然然
NA,然 然后 然后 然后 大象 就 说 对不起 了 哦 没 办法,84.0017248814144,Xinjiang,Target_Child,84,child,然 然,然然
NA,xxx,84.0017248814144,Xinjiang,Target_Child,84,child,xx,xx
NA,然后 然后 大象 和 长颈鹿 又 到 河边,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 然后 那个 男 大象 就 生气 了,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,还有 一 那个 还有 那个 牛 牛 还有 那个 牛 骂 了 那个 大象 女孩,84.0017248814144,Xinjiang,Target_Child,84,child,牛 牛,牛牛
NA,以后 给 给 给 他 弄伤,84.0017248814144,Xinjiang,Target_Child,84,child,给 给,给给
NA,然后 他 让 我 等下 就 拿 拿不到,87.00178648432205,Xinjiang,Target_Child,87,child,拿 拿,拿拿
NA,说 你 你 咋 了 女儿,84.0017248814144,Xinjiang,Target_Child,84,child,你 你,你你
NA,他 他 想 去 那里 地方,84.0017248814144,Xinjiang,Target_Child,84,child,他 他,他他
NA,长 长颈鹿 说 他 他 被 伤 了,84.0017248814144,Xinjiang,Target_Child,84,child,长 长,长长
NA,大象 大 马 马 拿来 了 马 拿来 了 一个 飞机 从 他 家里,84.0017248814144,Xinjiang,Target_Child,84,child,马 马,马马
NA,他 跑 跑 跑,84.0017248814144,Xinjiang,Target_Child,84,child,跑 跑,跑跑
NA,然后 然后 然后 大象 大象 就 说 长颈鹿 我们 到 那边 去 跳水 吧,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,以后 以后 长颈鹿 拿 飞机 来,84.0017248814144,Xinjiang,Target_Child,84,child,以后 以后,以后以后
NA,然后 啊 小 长颈鹿 说 要 这 样子 玩儿 呜呜呜,84.0017248814144,Xinjiang,Target_Child,84,child,呜呜,呜呜
NA,然后 大象 很 觉得 他 的 那个 地方 摔倒 的 地方 太 太 疼 了,84.0017248814144,Xinjiang,Target_Child,84,child,太 太,太太
NA,长 长 鼻子 长 鼻子 很 开心,84.0017248814144,Xinjiang,Target_Child,84,child,长 长,长长
NA,然后 然后 长颈鹿 就 说 好,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,把 他 慢慢 的 坐 坐 在 了 一 个 小 凳子,84.0017248814144,Xinjiang,Target_Child,84,child,慢慢,慢慢
NA,然后 然后 马 就 直接 玩儿 会儿,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,以后 长颈鹿 看 看 看 被 一 个 绳子 挡 住,84.0017248814144,Xinjiang,Target_Child,84,child,看 看,看看
NA,然后 她 抓 抓 着 一 把 网子,84.0017248814144,Xinjiang,Target_Child,84,child,抓 抓,抓抓
NA,然后 再 一 个 大象 女孩 来 帮 他 拿 已经 已经 拿到 了,84.0017248814144,Xinjiang,Target_Child,84,child,已经 已经,已经已经
NA,然后 然后 大象 跑,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 然后 就去,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 然后 啊 然后 啊 他 突然 这样子 抢 了 抢 了 抢 了 长颈鹿的 直升 飞机,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 她 一 拿 拿到 飞机 然后 给 了 他,84.0017248814144,Xinjiang,Target_Child,84,child,拿 拿,拿拿
NA,长颈鹿 长颈鹿 和 大象,84.0017248814144,Xinjiang,Target_Child,84,child,长颈鹿 长颈鹿,长颈鹿长颈鹿
NA,然 然后 长颈鹿 慢慢 地 跑,84.0017248814144,Xinjiang,Target_Child,84,child,然 然,然然
NA,突然 大象 玩儿 的 时候 不 小心 xxx 在 海里 了,84.0017248814144,Xinjiang,Target_Child,84,child,xx,xx
NA,不 小心 不 小心 嗯 嗯 大象 不 小心 摔 了 一 跤,84.0017248814144,Xinjiang,Target_Child,84,child,嗯 嗯,嗯嗯
NA,然后 大象 玩儿 玩儿 玩儿 掉到 了 河里 去 那个 飞机,84.0017248814144,Xinjiang,Target_Child,84,child,玩儿 玩儿,玩儿玩儿
NA,然后 然后 长颈鹿 就 高兴 拿到 飞机 了,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,让 让 他 坐,84.0017248814144,Xinjiang,Target_Child,84,child,让 让,让让
NA,大 大象 不 小心 把 球 扔到 海里,84.0017248814144,Xinjiang,Target_Child,84,child,大 大,大大
NA,后来 后来 就 xxx,84.0017248814144,Xinjiang,Target_Child,84,child,后来 后来,后来后来
NA,然后 然后 长颈鹿 看见 了,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,她 有 她用 她 用 自己 的 东西 一 伸 把 把 飞机 玩具 拿 上来 了,72.00147846978378,Xinjiang,Target_Child,72,child,把 把,把把
NA,长颈鹿 把 球 拿到 了 了,84.0017248814144,Xinjiang,Target_Child,84,child,了 了,了了
NA,大象 大象 大象 高兴 了,84.0017248814144,Xinjiang,Target_Child,84,child,大象 大象,大象大象
NA,不要 跑 这是 很滑 的 地 地 地方,84.0017248814144,Xinjiang,Target_Child,84,child,地 地,地地
NA,然后 给 给 大象,84.0017248814144,Xinjiang,Target_Child,84,child,给 给,给给
NA,他 说 你 要 要不要 跟 我 一起 玩儿 呢,84.0017248814144,Xinjiang,Target_Child,84,child,要 要,要要
NA,大象 美美地 说 好 高兴,84.0017248814144,Xinjiang,Target_Child,84,child,美美,美美
NA,然后 然后 终于 把 那个 拿 拿 上来 了,72.00147846978378,Xinjiang,Target_Child,72,child,然后 然后,然后然后
NA,大 大象大 大象,84.0017248814144,Xinjiang,Target_Child,84,child,大 大,大大
NA,大象 说 我 我 我们 先 玩儿 跳水 吧,84.0017248814144,Xinjiang,Target_Child,84,child,我 我,我我
NA,这 这张 是 在 这里,60.00123205815314,Xinjiang,Target_Child,60,child,这 这,这这
NA,然后 长颈鹿 说 不要 了 我 有 一 个 直升机 玩儿 所以 我 刚刚 玩儿 这个,84.0017248814144,Xinjiang,Target_Child,84,child,刚刚,刚刚
NA,他们 在 玩儿 xxx xxx,60.00123205815314,Xinjiang,Target_Child,60,child,xxx xxx,xxxxxx
NA,他 用 创可贴 xxx,84.0017248814144,Xinjiang,Target_Child,84,child,xx,xx
NA,然后 然后 长颈鹿 很 担心,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,他 他 跑 跑 跑 的 就 摔倒 了,84.0017248814144,Xinjiang,Target_Child,84,child,他 他,他他
NA,然后 他 就 伸 伸长 脚 和 手 去 拿,84.0017248814144,Xinjiang,Target_Child,84,child,伸 伸,伸伸
NA,然后 把 把 球 扔到 水里 了,60.00123205815314,Xinjiang,Target_Child,60,child,把 把,把把
NA,嗯 嗯 车 坏 了,60.00123205815314,Xinjiang,Target_Child,60,child,嗯 嗯,嗯嗯
NA,然后 然后 大象 这样子 玩儿 的 时候 他 就 掉到 河边 了,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,这个 嗯 嗯 跳 xxx 嗯 嗯 球 拿 的,60.00123205815314,Xinjiang,Target_Child,60,child,嗯 嗯,嗯嗯
NA,大象 大象 就 我 的 老婆 的 球 呀,60.00123205815314,Xinjiang,Target_Child,60,child,大象 大象,大象大象
NA,他 不 小心 把 把 水果 弄到 水 里面,60.00123205815314,Xinjiang,Target_Child,60,child,把 把,把把
NA,后来 后来 大象 大象 拿到 了 它 以后 就 看 我 看 我 看,84.0017248814144,Xinjiang,Target_Child,84,child,后来 后来,后来后来
NA,然后 大 大象 拿到 那个 飞机,84.0017248814144,Xinjiang,Target_Child,84,child,大 大,大大
NA,那个 大象 xxx xxx,60.00123205815314,Xinjiang,Target_Child,60,child,xxx xxx,xxxxxx
NA,然后 他 他们 两 个 都 他们 两 个 都 长颈鹿 会 游泳,60.00123205815314,Xinjiang,Target_Child,60,child,他 他,他他
NA,然 然 然后 大象 就 把 创可贴 拿 出来 给 他 的 脚 弄 一 下,84.0017248814144,Xinjiang,Target_Child,84,child,然 然,然然
NA,xxx xxx,60.00123205815314,Xinjiang,Target_Child,60,child,xxx xxx,xxxxxx
NA,后来 后来 大象 不 小心 把 它 扔 到 了 水 水里,84.0017248814144,Xinjiang,Target_Child,84,child,后来 后来,后来后来
NA,然后 然后 她 就 用 她 的 网 拿起 那个 马 的 飞机,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,以后 他 就 给 长 长 鼻子 给 道 道 了 歉,84.0017248814144,Xinjiang,Target_Child,84,child,长 长,长长
NA,结果 就 xxx xxx,60.00123205815314,Xinjiang,Target_Child,60,child,xxx xxx,xxxxxx
NA,然 然后 他们 去 捡 了,60.00123205815314,Xinjiang,Target_Child,60,child,然 然,然然
NA,给 给 了 给 给 了 长颈鹿 给 了 长颈鹿,84.0017248814144,Xinjiang,Target_Child,84,child,给 给,给给
NA,然后 然后 那个 那个 长颈鹿 就 在 这儿 坐 着 看,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 他 就 到 水里 xxx 了,60.00123205815314,Xinjiang,Target_Child,60,child,xx,xx
NA,大象 拿 几 块 小 小 玻璃球 给 梅花鹿 给 梅花鹿 弟弟,60.00123205815314,Xinjiang,Target_Child,60,child,小 小,小小
NA,然后 他 他 他 就 笑 了,60.00123205815314,Xinjiang,Target_Child,60,child,他 他,他他
NA,然后 然后 马 在 拿 着 飞机,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 大象 这样子 这样子 在 这样 指 他 然后 就 这样 指,84.0017248814144,Xinjiang,Target_Child,84,child,这样子 这样子,这样子这样子
NA,然 哎 然后 他们 他们 然后 这 球 掉到 水 里面 了,72.00147846978378,Xinjiang,Target_Child,72,child,他们 他们,他们他们
NA,梅花鹿 弟弟 想 他 也 能 扔 就 好 了,60.00123205815314,Xinjiang,Target_Child,60,child,弟弟,弟弟
NA,又 跑 跑 了,60.00123205815314,Xinjiang,Target_Child,60,child,跑 跑,跑跑
NA,他 大象 就 吹 吹 的,60.00123205815314,Xinjiang,Target_Child,60,child,吹 吹,吹吹
NA,他 给 他 他 给 他 弄 创可贴,84.0017248814144,Xinjiang,Target_Child,84,child,他 他,他他
NA,突然 梅花鹿 弟弟 一 扔 球,60.00123205815314,Xinjiang,Target_Child,60,child,弟弟,弟弟
NA,然后 他 就 哭了 xxx,60.00123205815314,Xinjiang,Target_Child,60,child,xx,xx
NA,长颈鹿 很 很 生气,84.0017248814144,Xinjiang,Target_Child,84,child,很 很,很很
NA,突然 小 大象 不 不 说 就 拿走 了,84.0017248814144,Xinjiang,Target_Child,84,child,不 不,不不
NA,大象 和 长 长颈鹿 在 打 球,72.00147846978378,Xinjiang,Target_Child,72,child,长 长,长长
NA,两 个 一 个 大象 就 坐 坐到 了 地方 了,60.00123205815314,Xinjiang,Target_Child,60,child,坐 坐,坐坐
NA,他们 就 学 着 这样 xxx,60.00123205815314,Xinjiang,Target_Child,60,child,xx,xx
NA,然后 然后 球 给 掉到 水 里面 了,72.00147846978378,Xinjiang,Target_Child,72,child,然后 然后,然后然后
NA,突然 不 小心 玩儿 玩儿 玩儿 把 飞机 xxx 到 海里 了,84.0017248814144,Xinjiang,Target_Child,84,child,玩儿 玩儿,玩儿玩儿
NA,后 后来 他 坚持住 想 把 它 给 拿 了,84.0017248814144,Xinjiang,Target_Child,84,child,后 后,后后
NA,马 马 有 一 个 飞机,60.00123205815314,Xinjiang,Target_Child,60,child,马 马,马马
NA,他 说 不行 你 要 好好 坐 着,84.0017248814144,Xinjiang,Target_Child,84,child,好好,好好
NA,然后 他 就 嘻嘻嘻 坐 着,84.0017248814144,Xinjiang,Target_Child,84,child,嘻嘻,嘻嘻
NA,后来 后来 他 没 拿到,84.0017248814144,Xinjiang,Target_Child,84,child,后来 后来,后来后来
NA,他 他 想 把 飞机 飞 出来,60.00123205815314,Xinjiang,Target_Child,60,child,他 他,他他
NA,所以 所以 长颈鹿 生气 生 就 哭 了,84.0017248814144,Xinjiang,Target_Child,84,child,所以 所以,所以所以
NA,然后 然后 长颈鹿 哭 了,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 然后 那 长颈鹿 好 开心 呀,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 然后 长颈鹿 湿湿 的 出来 了 以后 大象 大象 就 开始 转过去 玩儿,72.00147846978378,Xinjiang,Target_Child,72,child,然后 然后,然后然后
NA,她 用 一 个 东西 来 来 接住 那个 飞机 了,84.0017248814144,Xinjiang,Target_Child,84,child,来 来,来来
NA,可是 她 小象 看到 长颈鹿 的 飞机 很 很 喜欢,84.0017248814144,Xinjiang,Target_Child,84,child,很 很,很很
NA,然后 大象 就 就哈哈 的 笑 一 下,84.0017248814144,Xinjiang,Target_Child,84,child,就 就,就就
NA,还有 这个 大象 嗯嗯嗯嗯,60.00123205815314,Xinjiang,Target_Child,60,child,嗯嗯嗯嗯,嗯嗯嗯嗯
NA,然后他就 xxx xxx,60.00123205815314,Xinjiang,Target_Child,60,child,xxx xxx,xxxxxx
NA,然后 给 给 他 的 直升 飞机 了,84.0017248814144,Xinjiang,Target_Child,84,child,给 给,给给
NA,然后 他 就 咩咩咩 xxx 的 这样 玩儿,84.0017248814144,Xinjiang,Target_Child,84,child,咩咩,咩咩
NA,然后 他 他 水 飞机 掉 下来 水 了,60.00123205815314,Xinjiang,Target_Child,60,child,他 他,他他
NA,球 球 扔到 个 水 里面 了,72.00147846978378,Xinjiang,Target_Child,72,child,球 球,球球
NA,他 飞 飞机 他 呜呜呜呜 掉 掉,60.00123205815314,Xinjiang,Target_Child,60,child,飞 飞,飞飞
NA,xxx xxx,60.00123205815314,Xinjiang,Target_Child,60,child,xxx xxx,xxxxxx
NA,马 就 给 给 那个 他 的 球,60.00123205815314,Xinjiang,Target_Child,60,child,给 给,给给
NA,他 想 他 就 把 把 长颈鹿 的 玩具 拿走 了,84.0017248814144,Xinjiang,Target_Child,84,child,把 把,把把
NA,然 然后 后后 不 小心 心 把 球 掉到 河里 了,72.00147846978378,Xinjiang,Target_Child,72,child,然 然,然然
NA,xxx xxx 然后 掉下来 了,72.00147846978378,Xinjiang,Target_Child,72,child,xxx xxx,xxxxxx
NA,前面 xxx 玩儿 球,72.00147846978378,Xinjiang,Target_Child,72,child,xx,xx
NA,然后 大象 把 它 呜呜 掉到 水里 了,60.00123205815314,Xinjiang,Target_Child,60,child,呜呜,呜呜
NA,还有 这个 哭 了 啊啊啊,60.00123205815314,Xinjiang,Target_Child,60,child,啊啊,啊啊
NA,然后 然后 马 马 就 捡 那 那颗 球,72.00147846978378,Xinjiang,Target_Child,72,child,然后 然后,然后然后
NA,然后 然后 就 嗯 然后 感觉 是 特别 开心,72.00147846978378,Xinjiang,Target_Child,72,child,然后 然后,然后然后
NA,然后 再 他 拿 拿 出来 了,72.00147846978378,Xinjiang,Target_Child,72,child,拿 拿,拿拿
NA,长 长颈鹿 高兴 了,84.0017248814144,Xinjiang,Target_Child,84,child,长 长,长长
NA,生气 以后 大 大象 大象 和 大象 也 看到 那个 飞机,72.00147846978378,Xinjiang,Target_Child,72,child,大 大,大大
NA,然后 然后 他 他 他 就 生气 了,60.00123205815314,Xinjiang,Target_Child,60,child,然后 然后,然后然后
NA,然后 然后 他们 想 玩儿 飞机,72.00147846978378,Xinjiang,Target_Child,72,child,然后 然后,然后然后
NA,大象 也 也 对 他 对不 对不起,84.0017248814144,Xinjiang,Target_Child,84,child,也 也,也也
NA,抓 抓 呀 抓 抓不到 了,60.00123205815314,Xinjiang,Target_Child,60,child,抓 抓,抓抓
NA,然 然后 然后 大象 和 马 说 说 接住 我 了,72.00147846978378,Xinjiang,Target_Child,72,child,然 然,然然
NA,然后 然后 长颈鹿 就 生气 了,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,就 就 他 也 高兴 了,84.0017248814144,Xinjiang,Target_Child,84,child,就 就,就就
NA,玩儿 球 xxx,72.00147846978378,Xinjiang,Target_Child,72,child,xx,xx
NA,还有 两 这个 是 他 的 孩 他 的 女孩 孩子 这是 是 他 的 孩子,60.00123205815314,Xinjiang,Target_Child,60,child,孩 孩,孩孩
NA,他们 嗯 他们 他们 笑 了 哈哈哈哈,60.00123205815314,Xinjiang,Target_Child,60,child,他们 他们,他们他们
NA,他 玩儿 他 他 玩儿 瓶子,72.00147846978378,Xinjiang,Target_Child,72,child,他 他,他他
NA,然后 然后 他 自己 踢,72.00147846978378,Xinjiang,Target_Child,72,child,然后 然后,然后然后
NA,然后 然后 看 看 看 他 的 生气,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然 然后 后 然后 和 马 和 马 继续 玩儿 球,72.00147846978378,Xinjiang,Target_Child,72,child,然 然,然然
NA,xxx,72.00147846978378,Xinjiang,Target_Child,72,child,xx,xx
NA,然后 他 说道 他 告诉 他他 的 飞机 我 把 他 的 飞机 掉到 水里 了,60.00123205815314,Xinjiang,Target_Child,60,child,他他,他他
NA,xxx,72.00147846978378,Xinjiang,Target_Child,72,child,xx,xx
NA,然后 他 xx在 这儿 了,72.00147846978378,Xinjiang,Target_Child,72,child,xx,xx
NA,xxx,72.00147846978378,Xinjiang,Target_Child,72,child,xx,xx
NA,然 然后 然后 小 大象 很 害怕,84.0017248814144,Xinjiang,Target_Child,84,child,然 然,然然
NA,大 大象 明明 拿 着 一 个 球,84.0017248814144,Xinjiang,Target_Child,84,child,大 大,大大
NA,然后 河面 上 上 发现 一 个 兔子 这个 东西,72.00147846978378,Xinjiang,Target_Child,72,child,上 上,上上
NA,他 拿 拿不了 了,72.00147846978378,Xinjiang,Target_Child,72,child,拿 拿,拿拿
NA,他们 两 个 xxx 了,72.00147846978378,Xinjiang,Target_Child,72,child,xx,xx
NA,长颈鹿 手 手里 拿 一 个 飞机,72.00147846978378,Xinjiang,Target_Child,72,child,手 手,手手
NA,然 然后 他 受伤 了,72.00147846978378,Xinjiang,Target_Child,72,child,然 然,然然
NA,然后 严重 了 他们 xxx,72.00147846978378,Xinjiang,Target_Child,72,child,xx,xx
NA,然后 他 就 把 拿 拿 拿不上,60.00123205815314,Xinjiang,Target_Child,60,child,拿 拿,拿拿
NA,然后 他 他 然后 后 后 象 和 马 和 马 去 跑,72.00147846978378,Xinjiang,Target_Child,72,child,他 他,他他
NA,然后把 xxx xxx,72.00147846978378,Xinjiang,Target_Child,72,child,xxx xxx,xxxxxx
NA,小 小象 就 说 对不起 小,84.0017248814144,Xinjiang,Target_Child,84,child,小 小,小小
NA,然后 然后 他 他 说 怎么 了,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 然后 玩儿 去,72.00147846978378,Xinjiang,Target_Child,72,child,然后 然后,然后然后
NA,这个 是 宝宝 哭 着,60.00123205815314,Xinjiang,Target_Child,60,child,宝宝,宝宝
NA,然后 长颈鹿 长颈鹿 说 我 的 我 的 我 的 飞机 掉到 地上 了,84.0017248814144,Xinjiang,Target_Child,84,child,长颈鹿 长颈鹿,长颈鹿长颈鹿
NA,然后 后 然后 受伤 了,72.00147846978378,Xinjiang,Target_Child,72,child,后 后,后后
NA,他 把 东西 他 他 掉在 水里 这样子,72.00147846978378,Xinjiang,Target_Child,72,child,他 他,他他
NA,然后 然后 那个 那个 大 大象 就 说 都 怪 我 弄得,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 有人 人 来 接封 他 的 伤口,72.00147846978378,Xinjiang,Target_Child,72,child,人 人,人人
NA,所以 然后 长颈鹿 再 想想 办法,84.0017248814144,Xinjiang,Target_Child,84,child,想想,想想
NA,他 他 有 个 飞机,72.00147846978378,Xinjiang,Target_Child,72,child,他 他,他他
NA,然后 然后 长颈鹿 游呀游 拿 气球,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然 然后 后 然后 别 的 人 的 口袋里 有 一 个 创可贴 帮 他 封住 那个 伤口,72.00147846978378,Xinjiang,Target_Child,72,child,然 然,然然
NA,然后 长 长颈鹿 直接 跳下 水,84.0017248814144,Xinjiang,Target_Child,84,child,长 长,长长
NA,然后 他 很 xxx 飞机,60.00123205815314,Xinjiang,Target_Child,60,child,xx,xx
NA,他 他 他 这个,72.00147846978378,Xinjiang,Target_Child,72,child,他 他,他他
NA,水 里面 xxx,72.00147846978378,Xinjiang,Target_Child,72,child,xx,xx
NA,突然 把 小鹿 弟弟 撞到 河边 去 了,60.00123205815314,Xinjiang,Target_Child,60,child,弟弟,弟弟
NA,他 xxx 他 给 他,72.00147846978378,Xinjiang,Target_Child,72,child,xx,xx
NA,然后 他 给 他 拿 拿到 了,72.00147846978378,Xinjiang,Target_Child,72,child,拿 拿,拿拿
NA,然后 呢 然后 小鹿 弟弟 说 别碰 别碰,60.00123205815314,Xinjiang,Target_Child,60,child,弟弟,弟弟
NA,然 然后 然后 然后 他 说 不 疼 了,72.00147846978378,Xinjiang,Target_Child,72,child,然 然,然然
NA,然后 xxx,72.00147846978378,Xinjiang,Target_Child,72,child,xx,xx
NA,然后 然后 拿到 了 它,72.00147846978378,Xinjiang,Target_Child,72,child,然后 然后,然后然后
NA,他 跑 他 他 他 摔倒 了,72.00147846978378,Xinjiang,Target_Child,72,child,他 他,他他
NA,嗯 然后 嗯 然后 大象 抓 了 以后 然后 他 他 就 把 那个 球 就 扔在 了 水 里面 那只 球,84.0017248814144,Xinjiang,Target_Child,84,child,他 他,他他
NA,然 然后 再 然后 再 然后 再 大象 摔倒 了,72.00147846978378,Xinjiang,Target_Child,72,child,然 然,然然
NA,然后 然后 大象 害羞 了,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,小鹿 弟弟 就 哇哇 哭 起来,60.00123205815314,Xinjiang,Target_Child,60,child,弟弟,弟弟
NA,然后 长颈 长颈鹿 明明 他 想 跳水,84.0017248814144,Xinjiang,Target_Child,84,child,长颈 长颈,长颈长颈
NA,然后 他 就 拿 拿 拿不到,84.0017248814144,Xinjiang,Target_Child,84,child,拿 拿,拿拿
NA,一 一 个 球 球 掉进 了 水里,60.00123205815314,Xinjiang,Target_Child,60,child,一 一,一一
NA,然后 呢 小鹿 弟弟 很 生气,60.00123205815314,Xinjiang,Target_Child,60,child,弟弟,弟弟
NA,在 在 河上 拿到 了 一 一 个 飞机,72.00147846978378,Xinjiang,Target_Child,72,child,在 在,在在
NA,然后 然后 不 想 起来 了,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,然后 就 他 他 的 xxx 用 创可贴 贴 贴到 他 手 的 脚 上,72.00147846978378,Xinjiang,Target_Child,72,child,他 他,他他
NA,第 二 个 然后 长颈鹿 他 他,84.0017248814144,Xinjiang,Target_Child,84,child,他 他,他他
NA,那 那 掉到 水 里面,60.00123205815314,Xinjiang,Target_Child,60,child,那 那,那那
NA,嗯 大象 嗯 嗯,60.00123205815314,Xinjiang,Target_Child,60,child,嗯 嗯,嗯嗯
NA,然后 然后 那个 好 我 会 游泳,84.0017248814144,Xinjiang,Target_Child,84,child,然后 然后,然后然后
NA,大象 这个 xxx 这个,60.00123205815314,Xinjiang,Target_Child,60,child,xx,xx
NA,然后 后 闹 着 玩儿,72.00147846978378,Xinjiang,Target_Child,72,child,后 后,后后
