part_of_speech,gloss,target_child_age,corpus_name,speaker_role,age,role
on num cl n v,阿嚏 一 个 冰块 出来,72.00147846978378,Zhou2,Target_Child,72,child
neg v n asp on,没 有 箱子 了 啵,66.00135526396846,Zhou2,Target_Child,66,child
neg cleft asp on,没 的 了 啵,66.00135526396846,Zhou2,Target_Child,66,child
on,咚,72.00147846978378,Zhou2,Target_Child,72,child
on,咚,72.00147846978378,Zhou2,Target_Child,72,child
neg v nom on,不 拼 的 啵,66.00135526396846,Zhou2,Target_Child,66,child
on,噔噔噔,72.00147846978378,Zhou2,Target_Child,72,child
on,哈哈哈,72.00147846978378,Zhou2,Mother,72,adult
on adv cl adv v asp,咚 一 下 就 出来 了,72.00147846978378,Zhou2,Target_Child,72,child
n:tm adv adv n v asp v cpt on on adv v cl n v:dirc asp,这时 一 只 皮皮鼠 听见 了 吓 得 咕噜 咕噜 就 滚 下 床 来 了,72.00147846978378,Zhou2,Mother,72,adult
on on n v nom,咕噜 咕噜 滚 下来 的,72.00147846978378,Zhou2,Mother,72,adult
num adv n v v:resc asp on on prep n post v v v adj asp n,一 只 皮皮鼠 听 到 了 咕噜 咕噜 从 衣橱 上 滚 下来 摔 破 了 头,72.00147846978378,Zhou2,Target_Child,72,child
adv v num adv n v asp v cpt on on n v v v:resc asp n n,又 有 一 只 皮皮鼠 听见 了 吓 得 咕噜 咕噜 滚 下来 跌 到 了 衣橱 外面,72.00147846978378,Zhou2,Mother,72,adult
on,呜呜呜,72.00147846978378,Zhou2,Target_Child,72,child
n:relat n:relat v num v v:resc v pro num adv n v asp sfp adv v:cop num cl on sfp,爸爸 妈妈 回来 一 听 到 以为 这 三 只 老鼠 睡觉 了 呢 又 是 一 声 咚 啊,72.00147846978378,Zhou2,Mother,72,adult
