docname,from,to,pre,keyword,post,pattern
周杰倫_Mine Mine.txt,34,34,： 周 杰 倫 沒有,你的,生活 我 開始 寫 小說,*你*
周杰倫_Mine Mine.txt,49,49,我要 把 稿費 都 給,你,巷口 不小心 經過 你的 車,*你*
周杰倫_Mine Mine.txt,53,53,給 你 巷口 不小心 經過,你的,車 子 依舊 停在 紅線,*你*
周杰倫_Mine Mine.txt,60,60,子 依舊 停在 紅線 幫,你,繳 罰單 你 叫 我,*你*
周杰倫_Mine Mine.txt,63,63,紅線 幫 你 繳 罰單,你,叫 我 別 管 我,*你*
周杰倫_Mine Mine.txt,86,86,那 不是 那是 冬天 想起,你,生氣 的 臉 每天 就像,*你*
周杰倫_Mine Mine.txt,95,95,每天 就像 冬天 唉 唉唉,你說,那是 愛 愛 愛 誰,*你*
周杰倫_Mine Mine.txt,114,114,了 誰 是誰 都會 依賴,你說,已 分 開 為什麼 還要,*你*
周杰倫_Mine Mine.txt,121,121,分 開 為什麼 還要 幫,你,撐傘 Cuz baby you are,*你*
周杰倫_Mine Mine.txt,151,151,就 承認 我 真的 很想,你,會不會 沒有 男子 氣概 You,*你*
周杰倫_Mine Mine.txt,181,181,) 拆開 我的 心 隨,你,看 滿滿 的 都是 愛,*你*
周杰倫_Mine Mine.txt,191,191,愛 我的 眼皮跳 一下 代表,你在,想 我 我的 耳朵 癢,*你*
周杰倫_Mine Mine.txt,199,199,我的 耳朵 癢 一下 代表,你在,講 我 壞話 我沒 這麼,*你*
周杰倫_Mine Mine.txt,217,217,如果 以後 和 好了 看到,你,朋友 不是 很 尷尬 想起,*你*
周杰倫_Mine Mine.txt,233,233,那 不是 那是 冬天 想起,你,生氣 的 臉 每天 就像,*你*
周杰倫_Mine Mine.txt,242,242,每天 就像 冬天 唉 唉唉,你說,那是 愛 愛 愛 騙,*你*
周杰倫_Mine Mine.txt,262,262,小說 根本 是 空白 黑夜,你說,既然 已 分 開 為何,*你*
周杰倫_Mine Mine.txt,270,270,分 開 為何 還要 幫,你,撐傘 嘜 嘜 你 嘜,*你*
周杰倫_Mine Mine.txt,274,274,幫 你 撐傘 嘜 嘜,你,嘜 擱 嘜 擱 偷偷,*你*
周杰倫_Mine Mine.txt,283,283,擱 偷偷 離開 嘜 嘜,你,嘜 擱 嘜 擱 偷偷,*你*
周杰倫_Mine Mine.txt,295,295,嘜 驚 我 不會 放,你,一人 治 那 你想 祙,*你*
周杰倫_Mine Mine.txt,299,299,放 你 一人 治 那,你想,祙 有人 靠 有人 會,*你*
周杰倫_Mine Mine.txt,308,308,有人 會 疼 嘜 吶,你,雨傘 雨傘 趕緊 打開 嘜,*你*
周杰倫_Mine Mine.txt,315,315,雨傘 趕緊 打開 嘜 吶,你,雨傘 雨傘 趕緊 打開 嘜,*你*
周杰倫_Mine Mine.txt,324,324,打開 嘜 鬧 落 大雨,你,淋雨 我 艱苦 落 大雨,*你*
周杰倫_Mine Mine.txt,331,331,我 艱苦 落 大雨 我沒,你會,艱苦 Cuz baby you are,*你*
周杰倫_Mine Mine.txt,361,361,就 承認 我 真的 很想,你,會不會 沒有 男子 氣概 You,*你*
周杰倫_Mine Mine.txt,370,370,氣概 You say 嘜 吶,你,雨傘 雨傘 趕緊 打開 嘜,*你*
周杰倫_Mine Mine.txt,377,377,雨傘 趕緊 打開 嘜 吶,你,雨傘 雨傘 趕緊 打開 嘜,*你*
周杰倫_Mine Mine.txt,386,386,打開 嘜 鬧 落 大雨,你,淋雨 我 艱苦 落 大雨,*你*
周杰倫_Mine Mine.txt,393,393,我 艱苦 落 大雨 我沒,你會,艱苦 會 艱苦 . .,*你*
周杰倫_Mine Mine.txt,452,452,00 : 18.75 ] 沒有,你的,生活 我 開始 寫 小說,*你*
周杰倫_Mine Mine.txt,472,472,我要 把 稿費 都 給,你,[ 00 : 27.25 ],*你*
周杰倫_Mine Mine.txt,481,481,27.25 ] 巷口 不小心 經過,你的,車 子 依舊 停在 紅線,*你*
周杰倫_Mine Mine.txt,488,488,子 依舊 停在 紅線 幫,你,繳 罰單 [ 00 :,*你*
周杰倫_Mine Mine.txt,496,496,[ 00 : 31.22 ],你,叫 我 別 管 我,*你*
周杰倫_Mine Mine.txt,534,534,00 : 40.06 ] 想起,你,生氣 的 臉 每天 就像,*你*
周杰倫_Mine Mine.txt,548,548,: 44.00 ] 唉 唉唉,你說,那是 愛 愛 愛 [,*你*
周杰倫_Mine Mine.txt,582,582,[ 01 : 01.19 ],你說,已 分 開 為什麼 還要,*你*
周杰倫_Mine Mine.txt,589,589,分 開 為什麼 還要 幫,你,撐傘 [ 01 : 07.94,*你*
周杰倫_Mine Mine.txt,639,639,就 承認 我 真的 很想,你,[ 01 : 23.60 ],*你*
周杰倫_Mine Mine.txt,684,684,] 拆開 我的 心 隨,你,看 滿滿 的 都是 愛,*你*
周杰倫_Mine Mine.txt,704,704,] 我的 眼皮跳 一下 代表,你在,想 我 [ 01 :,*你*
周杰倫_Mine Mine.txt,717,717,我的 耳朵 癢 一下 代表,你在,講 我 壞話 [ 01,*你*
周杰倫_Mine Mine.txt,745,745,如果 以後 和 好了 看到,你,朋友 不是 很 尷尬 [,*你*
周杰倫_Mine Mine.txt,771,771,02 : 09.33 ] 想起,你,生氣 的 臉 每天 就像,*你*
周杰倫_Mine Mine.txt,785,785,: 13.18 ] 唉 唉唉,你說,那是 愛 愛 愛 [,*你*
周杰倫_Mine Mine.txt,820,820,[ 02 : 29.19 ],你說,既然 已 分 開 為何,*你*
周杰倫_Mine Mine.txt,828,828,分 開 為何 還要 幫,你,撐傘 [ 02 : 38.41,*你*
周杰倫_Mine Mine.txt,842,842,: 38.61 ] 嘜 嘜,你,嘜 擱 嘜 擱 偷偷,*你*
周杰倫_Mine Mine.txt,856,856,: 43.02 ] 嘜 嘜,你,嘜 擱 嘜 擱 偷偷,*你*
周杰倫_Mine Mine.txt,873,873,嘜 驚 我 不會 放,你,一人 治 那 你想 祙,*你*
周杰倫_Mine Mine.txt,877,877,放 你 一人 治 那,你想,祙 有人 靠 有人 會,*你*
周杰倫_Mine Mine.txt,891,891,: 55.78 ] 嘜 吶,你,雨傘 雨傘 趕緊 打開 [,*你*
周杰倫_Mine Mine.txt,903,903,: 59.95 ] 嘜 吶,你,雨傘 雨傘 趕緊 打開 [,*你*
周杰倫_Mine Mine.txt,917,917,] 嘜 鬧 落 大雨,你,淋雨 我 艱苦 落 大雨,*你*
周杰倫_Mine Mine.txt,924,924,我 艱苦 落 大雨 我沒,你會,艱苦 [ 03 : 15.65,*你*
周杰倫_Mine Mine.txt,979,979,就 承認 我 真的 很想,你,[ 03 : 43.76 ],*你*
周杰倫_Mine Mine.txt,1003,1003,: 46.68 ] 嘜 吶,你,雨傘 雨傘 趕緊 打開 [,*你*
周杰倫_Mine Mine.txt,1015,1015,: 50.92 ] 嘜 吶,你,雨傘 雨傘 趕緊 打開 [,*你*
周杰倫_Mine Mine.txt,1029,1029,] 嘜 鬧 落 大雨,你,淋雨 我 艱苦 落 大雨,*你*
周杰倫_Mine Mine.txt,1036,1036,我 艱苦 落 大雨 我沒,你會,艱苦 [ 04 : 04.18,*你*
周杰倫_Now You See Me.txt,23,23,超 能力 我 天生 神力,你的,魔術 要 靠 道具 還真,*你*
周杰倫_Now You See Me.txt,32,32,道具 還真 不 給 力,你,話術 耍 耍嘴皮 聲東擊西 分散,*你*
周杰倫_Now You See Me.txt,45,45,根本 不理 省 點 力氣,你,還真 有 耐性 啊 玩,*你*
周杰倫_Now You See Me.txt,65,65,都是 小朋友 的 把戲 猜,你,應該 使用 了 障眼 的,*你*
周杰倫_Now You See Me.txt,73,73,了 障眼 的 把戲 不然,你,看一看 你 旁邊 的 觀眾,*你*
周杰倫_Now You See Me.txt,75,75,的 把戲 不然 你 看一看,你,旁邊 的 觀眾 他們 都,*你*
周杰倫_Now You See Me.txt,89,89,出神入化 霧裡看花 跟 我 拚命,你會,輸掉 所有 籌碼 出神入化 浪跡天涯,*你*
周杰倫_Now You See Me.txt,166,166,it be 我的 幻術 讓,你,沈迷 看穿 你 One two,*你*
周杰倫_Now You See Me.txt,169,169,幻術 讓 你 沈迷 看穿,你,"One two three four ,",*你*
周杰倫_Now You See Me.txt,196,196,", one more two more",你,看不見 我 看不見 我 看不見,*你*
周杰倫_Now You See Me.txt,216,216,翻觔斗 ) 看不見 我 (,你,就是 扶不起 的 阿斗 ),*你*
周杰倫_Now You See Me.txt,226,226,) 看不見 我 ( 不然,你,早已 跟 我 握手 ),*你*
周杰倫_Now You See Me.txt,248,248,出神入化 霧裡看花 跟 我 拚命,你會,輸掉 所有 籌碼 出神入化 浪跡天涯,*你*
周杰倫_Now You See Me.txt,325,325,it be 我的 幻術 讓,你,沈迷 看穿 你 Now u,*你*
周杰倫_Now You See Me.txt,328,328,幻術 讓 你 沈迷 看穿,你,Now u see me cuz,*你*
周杰倫_Now You See Me.txt,392,392,it be 我的 幻術 讓,你,沈迷 看穿 你 [ 00,*你*
周杰倫_Now You See Me.txt,395,395,幻術 讓 你 沈迷 看穿,你,[ 00 : 00.37 ],*你*
周杰倫_Now You See Me.txt,462,462,[ 00 : 33.56 ],你的,魔術 要 靠 道具 還真,*你*
周杰倫_Now You See Me.txt,476,476,[ 00 : 36.01 ],你,話術 耍 耍嘴皮 聲東擊西 分散,*你*
周杰倫_Now You See Me.txt,494,494,根本 不理 省 點 力氣,你,還真 有 耐性 [ 00,*你*
周杰倫_Now You See Me.txt,529,529,00 : 46.81 ] 猜,你,應該 使用 了 障眼 的,*你*
周杰倫_Now You See Me.txt,542,542,00 : 49.01 ] 不然,你,看一看 你 旁邊 的 觀眾,*你*
周杰倫_Now You See Me.txt,544,544,49.01 ] 不然 你 看一看,你,旁邊 的 觀眾 他們 都,*你*
周杰倫_Now You See Me.txt,568,568,出神入化 霧裡看花 跟 我 拚命,你會,輸掉 所有 籌碼 [ 00,*你*
周杰倫_Now You See Me.txt,690,690,20.23 ] 我的 幻術 讓,你,沈迷 看穿 你 [ 01,*你*
周杰倫_Now You See Me.txt,693,693,幻術 讓 你 沈迷 看穿,你,[ 01 : 22.82 ],*你*
周杰倫_Now You See Me.txt,750,750,[ 01 : 40.85 ],你,看不見 我 看不見 我 看不見,*你*
周杰倫_Now You See Me.txt,780,780,46.03 ] 看不見 我 (,你,就是 扶不起 的 阿斗 ),*你*
周杰倫_Now You See Me.txt,795,795,] 看不見 我 ( 不然,你,早已 跟 我 握手 ),*你*
周杰倫_Now You See Me.txt,832,832,出神入化 霧裡看花 跟 我 拚命,你會,輸掉 所有 籌碼 [ 01,*你*
周杰倫_Now You See Me.txt,954,954,22.15 ] 我的 幻術 讓,你,沈迷 看穿 你 [ 02,*你*
周杰倫_Now You See Me.txt,957,957,幻術 讓 你 沈迷 看穿,你,[ 02 : 25.07 ],*你*
周杰倫_一口氣全唸對.txt,19,19,倫 這 這 誰 歡迎,你來,派對 我的 世界 在 寬敞,*你*
周杰倫_一口氣全唸對.txt,136,136,唸 準確 才會 抓到 感覺,你的,香水 我的 心跳 搞得 我,*你*
周杰倫_一口氣全唸對.txt,155,155,撫 媚 嘴角 猜 不到,你,抹 香水 我 摸 心跳,*你*
周杰倫_一口氣全唸對.txt,170,170,表 扭 水蛇腰 不吵不鬧 愛上,你,只需 一秒 這 這 誰,*你*
周杰倫_一口氣全唸對.txt,177,177,一秒 這 這 誰 歡迎,你來,派對 我的 世界 這裡 不用,*你*
周杰倫_一口氣全唸對.txt,292,292,唸 準確 才會 抓到 感覺,你的,香水 我的 心跳 搞得 我,*你*
周杰倫_一口氣全唸對.txt,311,311,撫 媚 嘴角 猜 不到,你,抹 香水 我 摸 心跳,*你*
周杰倫_一口氣全唸對.txt,326,326,表 扭 水蛇腰 不吵不鬧 愛上,你,只需 一秒 [ ti :,*你*
周杰倫_一口氣全唸對.txt,408,408,] 這 這 誰 歡迎,你來,派對 我的 世界 [ 00,*你*
周杰倫_一口氣全唸對.txt,570,570,[ 00 : 53.21 ],你的,香水 我的 心跳 搞得 我,*你*
周杰倫_一口氣全唸對.txt,599,599,[ 01 : 01.37 ],你,抹 香水 我 摸 心跳,*你*
周杰倫_一口氣全唸對.txt,619,619,] 扭 水蛇腰 不吵不鬧 愛上,你,只需 一秒 [ 01 :,*你*
周杰倫_一口氣全唸對.txt,636,636,] 這 這 誰 歡迎,你來,派對 我的 世界 [ 01,*你*
周杰倫_一口氣全唸對.txt,801,801,[ 01 : 54.05 ],你的,香水 我的 心跳 搞得 我,*你*
周杰倫_一口氣全唸對.txt,830,830,[ 02 : 02.46 ],你,抹 香水 我 摸 心跳,*你*
周杰倫_一口氣全唸對.txt,850,850,] 扭 水蛇腰 不吵不鬧 愛上,你,只需 一秒 [ 02 :,*你*
周杰倫_一路上有你+分手總要在雨天.txt,1,1,,你,知道 嗎 愛 你 並不,*你*
周杰倫_一路上有你+分手總要在雨天.txt,5,5,你 知道 嗎 愛,你,並不 容易 是 需要 很多,*你*
周杰倫_一路上有你+分手總要在雨天.txt,18,18,天意 吧 讓 我 愛上,你,但 你 卻 離 我,*你*
周杰倫_一路上有你+分手總要在雨天.txt,20,20,讓 我 愛上 你 但,你,卻 離 我 而 去,*你*
周杰倫_一路上有你+分手總要在雨天.txt,49,49,旁 察覺 身後 路人 是,你,## 也許 輪迴 裡 早已,*你*
周杰倫_一路上有你+分手總要在雨天.txt,61,61,今生 就 該 我 還給,你,一顆 心 在 風雨 裡,*你*
周杰倫_一路上有你+分手總要在雨天.txt,69,69,在 風雨 裡 飄來飄去 都是,為你,一路上 有 你 苦 一點,*你*
周杰倫_一路上有你+分手總要在雨天.txt,72,72,飄來飄去 都是 為你 一路上 有,你,苦 一點 也 願意 就算是,*你*
周杰倫_一路上有你+分手總要在雨天.txt,85,85,與 我 相遇 一路上 有,你,痛 一點 也 願意 就算,*你*
周杰倫_一路上有你+分手總要在雨天.txt,96,96,這 輩子 註定 要 和,你,分離 Repeat # ## $,*你*
周杰倫_一路上有你+分手總要在雨天.txt,145,145,杰 倫 - 一路上 有,你,+ 分手 總 要 在,*你*
周杰倫_一路上有你+分手總要在雨天.txt,157,157,[ 00 : 03.00 ],你,知道 嗎 愛 你 並不,*你*
周杰倫_一路上有你+分手總要在雨天.txt,161,161,] 你 知道 嗎 愛,你,並不 容易 是 需要 很多,*你*
周杰倫_一路上有你+分手總要在雨天.txt,179,179,天意 吧 讓 我 愛上,你,但 你 卻 離 我,*你*
周杰倫_一路上有你+分手總要在雨天.txt,181,181,讓 我 愛上 你 但,你,卻 離 我 而 去,*你*
周杰倫_一路上有你+分手總要在雨天.txt,229,229,旁 察覺 身後 路人 是,你,[ 00 : 55.01 ],*你*
周杰倫_一路上有你+分手總要在雨天.txt,250,250,今生 就 該 我 還給,你,[ 01 : 06.93 ],*你*
周杰倫_一路上有你+分手總要在雨天.txt,268,268,在 風雨 裡 飄來飄去 都是,為你,[ 01 : 17.21 ],*你*
周杰倫_一路上有你+分手總要在雨天.txt,276,276,: 17.21 ] 一路上 有,你,苦 一點 也 願意 就算是,*你*
周杰倫_一路上有你+分手總要在雨天.txt,294,294,: 31.53 ] 一路上 有,你,痛 一點 也 願意 就算,*你*
周杰倫_一路上有你+分手總要在雨天.txt,305,305,這 輩子 註定 要 和,你,分離 [ 02 : 35.82,*你*
周杰倫_一路向北.txt,29,29,越來越 遠 的 道 別,你,轉身 向背 ( 北 ),*你*
周杰倫_一路向北.txt,47,47,去 追 竟 聽見 著,你的,淚 ○ 在 車窗 外面,*你*
周杰倫_一路向北.txt,59,59,是 我 錯失 的 機會,你,站 的 方位 跟 我,*你*
周杰倫_一路向北.txt,71,71,隔著 淚 街景 一直在 後退,你的,崩潰 在 窗外 零碎 ◎,*你*
周杰倫_一路向北.txt,82,82,我 一路 向北 離開 有,你的,季節 你說 你 好累 已,*你*
周杰倫_一路向北.txt,84,84,向北 離開 有 你的 季節,你說,你 好累 已 無法 再,*你*
周杰倫_一路向北.txt,85,85,離開 有 你的 季節 你說,你,好累 已 無法 再 愛上,*你*
周杰倫_一路向北.txt,108,108,細 數 慚愧 我 傷,你,幾回 Repeat ★ ○ ◎,*你*
周杰倫_一路向北.txt,119,119,我 一路 向北 離開 有,你的,季節 方向 盤 周圍 回轉,*你*
周杰倫_一路向北.txt,142,142,細 數 慚愧 我 傷,你,幾回 停止 狼狽 就讓 錯,*你*
周杰倫_一路向北.txt,207,207,[ 00 : 47.42 ],你,轉身 向背 側 臉 還是,*你*
周杰倫_一路向北.txt,226,226,眼光 去 追 竟 聽見,你的,淚 [ 01 : 02.93,*你*
周杰倫_一路向北.txt,247,247,[ 01 : 15.89 ],你,站 的 方位 跟 我,*你*
周杰倫_一路向北.txt,264,264,22.19 ] 街景 一直在 後退,你的,崩潰 在 車外 零碎 [,*你*
周杰倫_一路向北.txt,279,279,我 一路 向北 離開 有,你的,季節 [ 01 : 37.40,*你*
周杰倫_一路向北.txt,286,286,[ 01 : 37.40 ],你說,你 好累 已 無法 再,*你*
周杰倫_一路向北.txt,287,287,01 : 37.40 ] 你說,你,好累 已 無法 再 愛上,*你*
周杰倫_一路向北.txt,320,320,細 數 慚愧 我 傷,你,幾回 [ 02 : 14.46,*你*
周杰倫_一路向北.txt,341,341,[ 02 : 30.95 ],你,轉身 向背 側 臉 還是,*你*
周杰倫_一路向北.txt,360,360,眼光 去 追 竟 聽見,你的,淚 [ 02 : 46.74,*你*
周杰倫_一路向北.txt,381,381,[ 02 : 59.69 ],你,站 的 方位 跟 我,*你*
周杰倫_一路向北.txt,398,398,05.93 ] 街景 一直在 後退,你的,崩潰 在 車外 零碎 [,*你*
周杰倫_一路向北.txt,413,413,我 一路 向北 離開 有,你的,季節 [ 03 : 21.12,*你*
周杰倫_一路向北.txt,420,420,[ 03 : 21.12 ],你說,你 好累 已 無法 再,*你*
周杰倫_一路向北.txt,421,421,03 : 21.12 ] 你說,你,好累 已 無法 再 愛上,*你*
周杰倫_一路向北.txt,454,454,細 數 慚愧 我 傷,你,幾回 [ 03 : 42.71,*你*
周杰倫_一路向北.txt,466,466,我 一路 向北 離開 有,你的,季節 [ 03 : 49.80,*你*
周杰倫_一路向北.txt,504,504,細 數 慚愧 我 傷,你,幾回 [ 04 : 12.35,*你*
周杰倫_一點點.txt,37,37,見 面 永遠 多過 給,你的,時間 那 虧欠 一直 放在,*你*
周杰倫_一點點.txt,48,48,心 裡面 沒能 說 出口,你,已 走遠 抱緊 你 卻,*你*
周杰倫_一點點.txt,52,52,出口 你 已 走遠 抱緊,你,卻 抓 不住 你的 愛,*你*
周杰倫_一點點.txt,56,56,抱緊 你 卻 抓 不住,你的,愛 剩 一點點 那 一天,*你*
周杰倫_一點點.txt,62,62,愛 剩 一點點 那 一天,你,幾乎 帶走 我 所有 的,*你*
周杰倫_一點點.txt,69,69,帶走 我 所有 的 從前,你說,我 根本 沒有 因為 愛,*你*
周杰倫_一點點.txt,75,75,我 根本 沒有 因為 愛,你,而 改變 我 始終 聽,*你*
周杰倫_一點點.txt,83,83,我 始終 聽 不 進,你的,勸 想 吃 甜點 想去,*你*
周杰倫_一點點.txt,96,96,我 卻 都 嫌 太遠,你在,委屈 埋怨 我 連 生日,*你*
周杰倫_一點點.txt,108,108,忘記 敷衍 卻 只會 要,你,乖 一點點 那 虧欠 一直,*你*
周杰倫_一點點.txt,120,120,心 裡面 沒能 說 出口,你,已 走遠 抱緊 你 卻,*你*
周杰倫_一點點.txt,124,124,出口 你 已 走遠 抱緊,你,卻 抓 不住 你的 愛,*你*
周杰倫_一點點.txt,128,128,抱緊 你 卻 抓 不住,你的,愛 剩 一點點 那 一天,*你*
周杰倫_一點點.txt,134,134,愛 剩 一點點 那 一天,你,幾乎 帶走 我 所有 的,*你*
周杰倫_一點點.txt,146,146,故事 裡 不再 出現 與,你,相關 的 畫面 一個人 的,*你*
周杰倫_一點點.txt,166,166,臉 那 瞬間 不再 讓,你,離開 我 身邊 [ 00,*你*
周杰倫_一點點.txt,246,246,53.04 ] 永遠 多過 給,你的,時間 [ 00 : 58.32,*你*
周杰倫_一點點.txt,272,272,06.72 ] 沒能 說 出口,你,已 走遠 [ 01 :,*你*
周杰倫_一點點.txt,286,286,01 : 14.41 ] 抱緊,你,卻 抓 不住 [ 01,*你*
周杰倫_一點點.txt,295,295,[ 01 : 17.55 ],你的,愛 剩 一點點 [ 01,*你*
周杰倫_一點點.txt,306,306,: 21.52 ] 那 一天,你,幾乎 帶走 我 所有 的,*你*
周杰倫_一點點.txt,323,323,[ 01 : 28.76 ],你說,我 根本 沒有 因為 愛,*你*
周杰倫_一點點.txt,329,329,我 根本 沒有 因為 愛,你,而 改變 [ 01 :,*你*
周杰倫_一點點.txt,342,342,我 始終 聽 不 進,你的,勸 [ 01 : 41.65,*你*
周杰倫_一點點.txt,370,370,我 卻 都 嫌 太遠,你在,委屈 埋怨 [ 02 :,*你*
周杰倫_一點點.txt,397,397,18.90 ] 卻 只會 要,你,乖 一點點 [ 02 :,*你*
周杰倫_一點點.txt,424,424,32.75 ] 沒能 說 出口,你,已 走遠 [ 02 :,*你*
周杰倫_一點點.txt,438,438,02 : 40.40 ] 抱緊,你,卻 抓 不住 [ 02,*你*
周杰倫_一點點.txt,447,447,[ 02 : 43.46 ],你的,愛 剩 一點點 [ 02,*你*
周杰倫_一點點.txt,458,458,: 47.51 ] 那 一天,你,幾乎 帶走 我 所有 的,*你*
周杰倫_一點點.txt,480,480,故事 裡 不再 出現 與,你,相關 的 畫面 [ 03,*你*
周杰倫_一點點.txt,520,520,: 16.71 ] 不再 讓,你,離開 我 身邊 [ 03,*你*
周杰倫_七里香.txt,72,72,剛 摘 的 鮮豔 草莓,你說,妳 捨不得 吃掉 這 一種,*你*
周杰倫_七里香.txt,405,405,[ 01 : 13.59 ],你說,妳 捨不得 吃掉 這 一種,*你*
周杰倫_三年二班.txt,16,16,： 洪 敬 堯 眼睛,你要,擦亮 記住 我的 模樣 表情,*你*
周杰倫_三年二班.txt,141,141,不用 問 一定 有人 向,你,挑戰 ) 到底 還要 過,*你*
周杰倫_三年二班.txt,225,225,笑 我 其實 都 知道,你,只是 想 炫耀 我 永遠,*你*
周杰倫_三年二班.txt,233,233,炫耀 我 永遠 做 不到,你,永遠 贏 不了 我 永遠,*你*
周杰倫_三年二班.txt,241,241,不了 我 永遠 做 不到,你,永遠 贏 不了 永遠 都,*你*
周杰倫_三年二班.txt,258,258,花香 ( 為什麼 這麼 簡單,你,做 不到 ) 坐 車廂,*你*
周杰倫_三年二班.txt,271,271,方向 ( 為什麼 這種 速度,你,追 不到 ) 鳥 飛翔,*你*
周杰倫_三年二班.txt,285,285,小巷 ( 為什麼 這麼 簡單,你,做 不到 ) 仔細想 這種,*你*
周杰倫_三年二班.txt,298,298,詳 ( 為什麼 這種 速度,你,追 不到 ) 不好 笑,*你*
周杰倫_三年二班.txt,475,475,00 : 39.41 ] 眼睛,你要,擦亮 記住 我的 模樣 [,*你*
周杰倫_三年二班.txt,678,678,不用 問 一定 有人 向,你,挑戰 [ 01 : 27.23,*你*
周杰倫_三年二班.txt,822,822,笑 我 其實 都 知道,你,只是 想 炫燿 [ 02,*你*
周杰倫_三年二班.txt,835,835,] 我 永遠 做 不到,你,永遠 贏 不了 [ 02,*你*
周杰倫_三年二班.txt,848,848,] 我 永遠 做 不到,你,永遠 贏 不了 永遠 都,*你*
周杰倫_三年二班.txt,869,869,哪有 花香 為什麼 這麼 簡單,你,做 不到 [ 02 :,*你*
周杰倫_三年二班.txt,885,885,南下 方向 為什麼 這種 速度,你,追 不到 [ 02 :,*你*
周杰倫_三年二班.txt,902,902,條 小巷 為什麼 這麼 簡單,你,做 不到 [ 03 :,*你*
周杰倫_三年二班.txt,918,918,安 詳 為什麼 這種 速度,你,追 不到 [ 03 :,*你*
周杰倫_三年二班(Vcd).txt,2,2,眼睛,你要,擦亮 記住 我的 模樣 表情,*你*
周杰倫_三年二班(Vcd).txt,127,127,不用 問 一定 有人 向,你,挑戰 ) 到底 還要 過,*你*
周杰倫_三年二班(Vcd).txt,213,213,笑 我 其實 都 知道,你,只是 想 炫燿 我 永遠,*你*
周杰倫_三年二班(Vcd).txt,221,221,炫燿 我 永遠 做 不到,你,永遠 贏 不了 我 永遠,*你*
周杰倫_三年二班(Vcd).txt,229,229,不了 我 永遠 做 不到,你,永遠 贏 不了 永遠 贏,*你*
周杰倫_三年二班(Vcd).txt,245,245,花香 ( 為甚麼 這麼 簡單,你,做 不到 ) 坐 車廂,*你*
周杰倫_三年二班(Vcd).txt,258,258,方向 ( 為甚麼 這種 速度,你,追 不到 ) 鳥 飛翔,*你*
周杰倫_三年二班(Vcd).txt,272,272,小巷 ( 為甚麼 這麼 簡單,你,做 不到 ) 仔細想 這種,*你*
周杰倫_三年二班(Vcd).txt,285,285,詳 ( 為甚麼 這種 速度,你,追 不到 ) 不好 笑,*你*
周杰倫_不愛我就拉倒.txt,28,28,來了 剛好 剛好 可以 把,你,手 放 外套 把 安全帽,*你*
周杰倫_不愛我就拉倒.txt,36,36,外套 把 安全帽 戴好 不讓,你在,愛情 路上 跌倒 加速 狂飆,*你*
周杰倫_不愛我就拉倒.txt,42,42,愛情 路上 跌倒 加速 狂飆,你說,不要 愛 的 險 你,*你*
周杰倫_不愛我就拉倒.txt,47,47,你說 不要 愛 的 險,你,不想 冒 不想 被 套牢,*你*
周杰倫_不愛我就拉倒.txt,60,60,真 比 我 好 ？,你,幸福 就好 不 愛 我,*你*
周杰倫_不愛我就拉倒.txt,85,85,哥 練 的 胸肌 如果,你,還想 靠 好 膽 你,*你*
周杰倫_不愛我就拉倒.txt,90,90,你 還想 靠 好 膽,你,就 麥 造 寒流 來了,*你*
周杰倫_不愛我就拉倒.txt,99,99,寒流 來了 剛好 可以 把,你,手 放 外套 把 安全帽,*你*
周杰倫_不愛我就拉倒.txt,113,113,愛情 路上 跌倒 加速 狂飆,你,你說 不要 愛 的 險,*你*
周杰倫_不愛我就拉倒.txt,114,114,路上 跌倒 加速 狂飆 你,你說,不要 愛 的 險 你,*你*
周杰倫_不愛我就拉倒.txt,119,119,你說 不要 愛 的 險,你,不想 冒 不想 被 我,*你*
周杰倫_不愛我就拉倒.txt,138,138,哥 練 的 胸肌 如果,你,還想 靠 算了 你 幸福,*你*
周杰倫_不愛我就拉倒.txt,142,142,如果 你 還想 靠 算了,你,幸福 你 幸福 就好 寒流,*你*
周杰倫_不愛我就拉倒.txt,144,144,還想 靠 算了 你 幸福,你,幸福 就好 寒流 來了 剛好,*你*
周杰倫_不愛我就拉倒.txt,153,153,來了 剛好 剛好 可以 把,你,手 放 外套 把 安全帽,*你*
周杰倫_不愛我就拉倒.txt,161,161,外套 把 安全帽 戴好 不讓,你在,愛情 路上 跌倒 加速 狂飆,*你*
周杰倫_不愛我就拉倒.txt,167,167,愛情 路上 跌倒 加速 狂飆,你說,不要 愛 的 險 你,*你*
周杰倫_不愛我就拉倒.txt,172,172,你說 不要 愛 的 險,你,不想 冒 不想 被 套牢,*你*
周杰倫_不愛我就拉倒.txt,185,185,真 比 我 好 ？,你,幸福 就好 不 愛 我,*你*
周杰倫_不愛我就拉倒.txt,210,210,哥 練 的 胸肌 如果,你,還想 靠 好 膽 你,*你*
周杰倫_不愛我就拉倒.txt,215,215,你 還想 靠 好 膽,你,就 麥 造 你 幸福,*你*
周杰倫_不愛我就拉倒.txt,219,219,膽 你 就 麥 造,你,幸福 就好 不 愛 我,*你*
周杰倫_不愛我就拉倒.txt,244,244,哥 練 的 胸肌 如果,你,還想 靠 好 膽 你,*你*
周杰倫_不愛我就拉倒.txt,249,249,你 還想 靠 好 膽,你,就 麥 造 [ 00,*你*
